"Subject" "Activity Name" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
"11" 2 "Standing" 0.27859589 -0.015231928 -0.098908415 -0.99878507 -0.98194306 -0.99137882 0.92371888 -0.31398567 0.12787786 -0.99896777 -0.98598299 -0.98116601 0.073410891 0.0048205158 0.0055513158 -0.99667303 -0.98624441 -0.99071275 -0.025346783 -0.074217186 0.087760115 -0.99446328 -0.99282756 -0.99050543 -0.09760717 -0.043922229 -0.049796101 -0.99430186 -0.99498126 -0.99363215 -0.99200078 -0.99367767 -0.99200078 -0.99367767 -0.99248401 -0.99338931 -0.99262929 -0.99443845 -0.99501892 -0.99693534 -0.99826331 -0.98394109 -0.99048651 -0.99906652 -0.98092551 -0.99180335 0.17695169 0.2415588 0.37298588 -0.99670546 -0.98626158 -0.98849434 -0.99691631 -0.98719871 -0.9915971 0.35713544 0.14441309 0.28922957 -0.99303641 -0.99298218 -0.98963531 -0.99485695 -0.99268503 -0.99158402 -0.018031309 -0.090440351 -0.00096543092 -0.99370298 -0.99370311 0.30545062 -0.99227779 -0.9939467 0.38900332 -0.99416628 -0.99552528 0.25675176 -0.99650487 -0.99749031 0.69196501
"12" 2 "Standing" 0.27915178 -0.021879444 -0.10973077 -0.99778103 -0.99295121 -0.98568028 0.92403746 -0.31295562 0.1314731 -0.99837133 -0.99227971 -0.99206883 0.073495012 0.01105182 -0.01853629 -0.99404984 -0.98465144 -0.98674551 -0.029174831 -0.079426371 0.092674028 -0.99579842 -0.99382668 -0.99431145 -0.095793768 -0.038043778 -0.056942414 -0.99350021 -0.99529245 -0.99551391 -0.99317478 -0.99518342 -0.99317478 -0.99518342 -0.98917652 -0.99115044 -0.99425402 -0.9951991 -0.9954186 -0.99696993 -0.99635482 -0.98981458 -0.98430519 -0.99864331 -0.99431655 -0.98689355 0.31927728 0.58598205 0.52874656 -0.9938092 -0.98572742 -0.98549705 -0.99489149 -0.98435234 -0.9863919 0.38446364 0.27191831 0.10201815 -0.99346021 -0.99362734 -0.99400498 -0.99660277 -0.9939159 -0.99484074 0.37563099 0.10810538 0.079991136 -0.99400006 -0.99601109 0.65996686 -0.98988419 -0.99192121 0.37844046 -0.99495697 -0.99613329 0.34240159 -0.99659475 -0.997454 0.60281802
"13" 2 "Standing" 0.27454383 -0.023145294 -0.1125396 -0.99620456 -0.9915728 -0.98751828 0.92445923 -0.31568266 0.13103466 -0.9992491 -0.99095888 -0.98946132 0.076245658 0.0061658182 -0.0034026214 -0.99195764 -0.9882498 -0.98820739 -0.02794305 -0.07935183 0.096964901 -0.99489468 -0.9947356 -0.9963317 -0.097721303 -0.039609772 -0.051964221 -0.9930048 -0.99560214 -0.99580877 -0.99209849 -0.99412726 -0.99209849 -0.99412726 -0.9894526 -0.99451471 -0.99394477 -0.99576249 -0.99543688 -0.99728357 -0.99479144 -0.98861809 -0.98770144 -0.99693516 -0.99286441 -0.98747911 0.19866876 0.31115536 0.30426431 -0.99216963 -0.98856035 -0.98644174 -0.99240047 -0.98866439 -0.98846739 0.45134894 0.021321269 0.15938337 -0.99244084 -0.9945768 -0.99525125 -0.99570116 -0.99479355 -0.99709103 0.14844061 0.093543233 0.48206497 -0.99262272 -0.99530622 0.55483306 -0.99330914 -0.99541989 0.60688371 -0.99546295 -0.99666227 0.36725 -0.99676286 -0.99807903 0.5099332
"14" 2 "Standing" 0.26906631 -0.027685967 -0.11017794 -0.9968836 -0.9864395 -0.9884791 0.92317418 -0.31981835 0.12898325 -0.99281837 -0.98326068 -0.99353816 0.079173934 0.018495729 0.018553835 -0.99361731 -0.98564396 -0.99061427 -0.026941731 -0.068240615 0.089771735 -0.99388537 -0.98820559 -0.98344383 -0.10142743 -0.038160122 -0.058543152 -0.99293553 -0.99434929 -0.99290875 -0.98880473 -0.98770276 -0.98880473 -0.98770276 -0.99092702 -0.99385728 -0.98944095 -0.98687805 -0.99441044 -0.99553145 -0.99571171 -0.98442061 -0.98669651 -0.99749113 -0.98737963 -0.98979083 0.2514775 0.13520448 0.48353083 -0.99351603 -0.98401132 -0.98826057 -0.99430987 -0.98909532 -0.99166802 0.43404713 0.055112843 0.053564453 -0.99221021 -0.98992876 -0.98512453 -0.9943601 -0.98717522 -0.98420817 0.14550551 -0.33645861 -0.13300719 -0.98863354 -0.98793678 0.097035993 -0.99419527 -0.99185806 0.13403303 -0.98880945 -0.98753556 -0.11300024 -0.99535264 -0.99569128 0.19319416
"15" 2 "Standing" 0.27557925 -0.018936424 -0.097409776 -0.99606469 -0.96822549 -0.98069598 0.92036099 -0.32552855 0.12910023 -0.99243056 -0.98164027 -0.99003989 0.075745215 0.031020344 0.015751456 -0.99417651 -0.98532987 -0.991535 -0.026364477 -0.064583159 0.073449259 -0.99254536 -0.98826303 -0.98518426 -0.10010014 -0.039292409 -0.060488259 -0.99249168 -0.99386369 -0.99377681 -0.98345554 -0.98813206 -0.98345554 -0.98813206 -0.99209801 -0.99224337 -0.98770443 -0.98767351 -0.99443167 -0.99463809 -0.99606425 -0.97359746 -0.98332034 -0.99595662 -0.96645863 -0.97965915 -0.0020415029 0.16000974 0.14438791 -0.99513688 -0.98499726 -0.98902474 -0.99354233 -0.98683492 -0.99283303 0.399878 -0.0027572551 0.039919133 -0.99018207 -0.98942265 -0.98591136 -0.99324917 -0.98754431 -0.9861154 0.010284049 -0.28614322 -0.071623672 -0.98738595 -0.98950494 0.199881 -0.99335409 -0.98898022 0.077898404 -0.98960102 -0.98819675 -0.032675202 -0.99432072 -0.99513932 0.22436911
"16" 2 "Standing" 0.28193083 -0.004880615 -0.086106145 -0.98907559 -0.95900626 -0.97302388 0.91979943 -0.32576314 0.13401665 -0.99519236 -0.98160614 -0.96913566 0.065217218 -0.010943663 -0.025885472 -0.97944868 -0.96940183 -0.98769745 -0.076452794 -0.015582021 0.025521434 -0.84566376 -0.91612436 -0.91722556 -0.19787079 -0.025032953 -0.059846977 -0.96508293 -0.98444407 -0.97313161 -0.97177018 -0.96608028 -0.97177018 -0.96608028 -0.98444335 -0.97153546 -0.92345144 -0.72226181 -0.98575128 -0.96661468 -0.98320133 -0.95675185 -0.97471273 -0.99250983 -0.96178818 -0.97319102 0.33011891 0.0057261335 0.198011 -0.98020184 -0.96735551 -0.98362993 -0.9803966 -0.97451808 -0.99094372 0.3357909 -0.24398874 -0.03038267 -0.82265638 -0.94607132 -0.9348623 -0.85325262 -0.90235584 -0.91943187 -0.079403354 -0.75685515 -0.59458878 -0.97084205 -0.96746788 -0.071208833 -0.97648381 -0.963856 -0.074814654 -0.80914 -0.71810731 -0.31996662 -0.97267088 -0.96151741 -0.52806122
"17" 2 "Standing" 0.31107792 -0.019430625 -0.10186634 -0.9366878 -0.84018585 -0.81682639 0.87581327 -0.42668132 0.038234377 -0.86986537 -0.8714715 -0.82092428 0.037478233 -0.066680016 -0.10814524 -0.97516521 -0.95570343 -0.98472427 0.00099342639 -0.11268679 -0.0037551694 -0.97841972 -0.97751116 -0.9574625 -0.087205988 -0.042719445 -0.04751798 -0.98427753 -0.98620017 -0.9739398 -0.89114826 -0.84259528 -0.89114826 -0.84259528 -0.97436577 -0.96989694 -0.94244588 -0.96165032 -0.98494221 -0.98392743 -0.94551956 -0.88363239 -0.88166597 -0.9332142 -0.82986443 -0.79929807 -0.37318433 -0.014557772 -0.13025094 -0.97485024 -0.95676044 -0.98268615 -0.97779947 -0.95752624 -0.9852408 0.26361106 -0.12709369 -0.30359886 -0.97243376 -0.98011598 -0.9565205 -0.98025409 -0.9760463 -0.96150159 -0.15117555 -0.010314698 -0.23562451 -0.86204866 -0.85576029 -0.10261874 -0.97087879 -0.96707393 -0.0081488532 -0.97596859 -0.95954574 -0.37289205 -0.98468873 -0.98347904 0.17630955
"18" 2 "Standing" 0.26232825 -0.023257054 -0.12552494 -0.98456111 -0.91337982 -0.91267279 0.88997692 -0.42265611 0.044050888 -0.97024526 -0.9456811 -0.91993724 0.084069165 0.064999597 0.048234989 -0.98880708 -0.97822827 -0.9883445 -0.0061088604 -0.08363601 0.034434823 -0.98668458 -0.98896619 -0.97230704 -0.10448123 -0.035397886 -0.039153959 -0.99211655 -0.99280176 -0.99043873 -0.94390252 -0.93970043 -0.94390252 -0.93970043 -0.9860497 -0.98926886 -0.96709063 -0.97232791 -0.99263654 -0.99471661 -0.98654788 -0.92924887 -0.94633946 -0.98357495 -0.91017475 -0.90221327 -0.2203085 0.11982579 -0.0025179544 -0.98941257 -0.97834691 -0.98577613 -0.98906648 -0.97962797 -0.98959184 0.25142756 0.038733458 0.1753946 -0.98508824 -0.98913607 -0.97358459 -0.98713526 -0.9888398 -0.97422376 -0.19644416 -0.012228628 -0.013677736 -0.96053843 -0.93797575 -0.20658806 -0.98831696 -0.98931829 0.18832046 -0.9812298 -0.97131141 -0.21965188 -0.9942263 -0.99537261 0.48252707
"19" 2 "Standing" 0.28841575 -0.003485395 -0.083827858 -0.99457065 -0.97835984 -0.97994262 0.88529186 -0.42609871 0.038517398 -0.98971312 -0.97043824 -0.95956976 0.079803783 0.014624073 -0.0045173884 -0.99168826 -0.98327871 -0.99208358 -0.019768993 -0.079931119 0.077789083 -0.9883864 -0.99057798 -0.98068603 -0.10348036 -0.041431124 -0.046259069 -0.99359924 -0.99292775 -0.98920053 -0.97506523 -0.97474348 -0.97506523 -0.97474348 -0.99096838 -0.9911234 -0.98433291 -0.98766424 -0.99275342 -0.99496513 -0.99267369 -0.97977967 -0.98759141 -0.99553177 -0.97786162 -0.9762713 0.18626785 0.12666367 -0.03683484 -0.99122166 -0.9826427 -0.99116022 -0.99304259 -0.98535646 -0.9914358 0.41649044 0.037579871 0.052578094 -0.98710948 -0.99044019 -0.97982749 -0.98873327 -0.99064283 -0.98260428 -0.099926843 -0.038695197 -0.039076312 -0.98357957 -0.97284557 -0.1044758 -0.99027752 -0.99109654 0.31371497 -0.99049256 -0.98760355 -0.032847815 -0.99448466 -0.99573512 0.32854947
"20" 2 "Standing" 0.27116593 -0.025972908 -0.094923481 -0.97012403 -0.90187818 -0.9652996 0.88868488 -0.41889767 0.046875908 -0.98890631 -0.98323615 -0.97134623 0.058055977 -0.024006991 -0.031103821 -0.95251521 -0.93148972 -0.97959714 -0.026489988 -0.086821561 0.12018605 -0.95170794 -0.96834668 -0.94386544 -0.1109612 -0.057722741 -0.039061843 -0.94984523 -0.97602371 -0.95500434 -0.95883076 -0.92293487 -0.95883076 -0.92293487 -0.96404005 -0.93386755 -0.95847553 -0.92509765 -0.97088597 -0.95995921 -0.95935318 -0.9008582 -0.96839921 -0.97563293 -0.90761105 -0.96524359 0.12067035 0.028758826 0.09804099 -0.95448426 -0.930852 -0.97577418 -0.95454897 -0.93728902 -0.98214495 0.20053662 -0.21957247 -0.19077559 -0.9372461 -0.9658466 -0.9379497 -0.95624666 -0.97015055 -0.95097075 -0.27269254 -0.043400546 -0.10955717 -0.93889729 -0.92558908 -0.031525295 -0.9486251 -0.91616953 0.1017352 -0.94747945 -0.92406528 -0.33818405 -0.9682135 -0.9529879 -0.032604684
